slot,arm,luna_side,terminal_cause,luna_outcome,player_turns,requests,luna_turns,tokens,backend_seconds,core_damage,heuristic_core_damage
MATCH-059,stepwise,red,CORE_DESTRUCTION,loss,9,14,4,210,1.1965789999812841,0,30
MATCH-059,strict,red,TEAM_ELIMINATION,loss,7,3,3,45,0.3138040999765508,0,0
MATCH-060,stepwise,blue,CORE_DESTRUCTION,loss,6,11,3,165,0.9136895000119694,0,30
MATCH-060,strict,blue,CORE_DESTRUCTION,loss,6,3,3,45,0.2781546999467537,0,30
MATCH-060,bounded,blue,CORE_DESTRUCTION,loss,6,3,3,45,0.31250310002360493,0,30
MATCH-061,strict,red,TEAM_ELIMINATION,loss,7,3,3,45,0.2886920999735594,0,0
MATCH-061,bounded,red,TEAM_ELIMINATION,loss,7,3,3,45,0.2743238999391906,0,0
MATCH-061,stepwise,red,CORE_DESTRUCTION,loss,9,14,4,210,1.2235413999296725,0,30
MATCH-062,bounded,blue,CORE_DESTRUCTION,loss,6,3,3,45,0.3676708999555558,0,30
MATCH-062,stepwise,blue,CORE_DESTRUCTION,loss,6,11,3,165,1.0038850000710227,0,30
MATCH-062,strict,blue,CORE_DESTRUCTION,loss,6,3,3,45,0.3151900000520982,0,30
MATCH-063,stepwise,red,CORE_DESTRUCTION,loss,9,14,4,210,1.231882499938365,0,30
MATCH-063,strict,red,TEAM_ELIMINATION,loss,7,3,3,45,0.2624670999357477,0,0
MATCH-063,bounded,red,TEAM_ELIMINATION,loss,7,3,3,45,0.27793129993369803,0,0
MATCH-064,strict,blue,CORE_DESTRUCTION,loss,6,3,3,45,0.300930299970787,0,30
MATCH-064,bounded,blue,CORE_DESTRUCTION,loss,6,3,3,45,0.31382140005007386,0,30
MATCH-064,stepwise,blue,CORE_DESTRUCTION,loss,6,11,3,165,1.0362537000328302,0,30
MATCH-065,bounded,red,TEAM_ELIMINATION,loss,7,3,3,45,0.2913404999417253,0,0
MATCH-065,stepwise,red,CORE_DESTRUCTION,loss,9,14,4,210,1.4212677999166772,0,30
MATCH-065,strict,red,TEAM_ELIMINATION,loss,7,3,3,45,0.24903639999683946,0,0
MATCH-066,stepwise,blue,CORE_DESTRUCTION,loss,6,11,3,165,1.0338820000179112,0,30
MATCH-066,strict,blue,CORE_DESTRUCTION,loss,6,3,3,45,0.288948499946855,0,30
MATCH-066,bounded,blue,CORE_DESTRUCTION,loss,6,3,3,45,0.31380150001496077,0,30
MATCH-067,strict,red,TEAM_ELIMINATION,loss,7,3,3,45,0.2743443999788724,0,0
MATCH-067,bounded,red,TEAM_ELIMINATION,loss,7,3,3,45,0.26661139994394034,0,0
MATCH-067,stepwise,red,CORE_DESTRUCTION,loss,9,14,4,210,1.1727730999700725,0,30
MATCH-068,bounded,blue,CORE_DESTRUCTION,loss,6,3,3,45,0.33206970000173897,0,30
MATCH-068,stepwise,blue,CORE_DESTRUCTION,loss,6,11,3,165,0.9787394999875687,0,30
MATCH-068,strict,blue,CORE_DESTRUCTION,loss,6,3,3,45,0.28612890001386404,0,30
MATCH-069,stepwise,red,CORE_DESTRUCTION,loss,9,14,4,210,1.1944992999196984,0,30
MATCH-069,strict,red,TEAM_ELIMINATION,loss,7,3,3,45,0.27549919998273253,0,0
MATCH-069,bounded,red,TEAM_ELIMINATION,loss,7,3,3,45,0.2916298000491224,0,0
MATCH-070,strict,blue,CORE_DESTRUCTION,loss,6,3,3,45,0.28509549994487315,0,30
MATCH-070,bounded,blue,CORE_DESTRUCTION,loss,6,3,3,45,0.2844199999817647,0,30
MATCH-070,stepwise,blue,CORE_DESTRUCTION,loss,6,11,3,165,1.0224342999863438,0,30
MATCH-071,bounded,red,TEAM_ELIMINATION,loss,7,3,3,45,0.25240829994436353,0,0
MATCH-071,stepwise,red,CORE_DESTRUCTION,loss,9,14,4,210,1.1576639999402687,0,30
MATCH-071,strict,red,TEAM_ELIMINATION,loss,7,3,3,45,0.255513499956578,0,0
MATCH-072,stepwise,blue,CORE_DESTRUCTION,loss,6,11,3,165,0.966547799995169,0,30
MATCH-072,strict,blue,CORE_DESTRUCTION,loss,6,3,3,45,0.30972910003038123,0,30
MATCH-072,bounded,blue,CORE_DESTRUCTION,loss,6,3,3,45,0.31899750005686656,0,30
MATCH-073,strict,red,TEAM_ELIMINATION,loss,7,3,3,45,0.25970709999091923,0,0
MATCH-073,bounded,red,TEAM_ELIMINATION,loss,7,3,3,45,0.26146090001566336,0,0
MATCH-073,stepwise,red,CORE_DESTRUCTION,loss,9,14,4,210,1.2315348999691196,0,30
MATCH-074,bounded,blue,CORE_DESTRUCTION,loss,6,3,3,45,0.3182056999648921,0,30
MATCH-074,stepwise,blue,CORE_DESTRUCTION,loss,6,11,3,165,0.9805637000245042,0,30
MATCH-074,strict,blue,CORE_DESTRUCTION,loss,6,3,3,45,0.28149140009190887,0,30
MATCH-075,stepwise,red,CORE_DESTRUCTION,loss,9,14,4,210,1.2058996999403462,0,30
MATCH-075,strict,red,TEAM_ELIMINATION,loss,7,3,3,45,0.2601563999778591,0,0
MATCH-075,bounded,red,TEAM_ELIMINATION,loss,7,3,3,45,0.27280370000516996,0,0
MATCH-076,strict,blue,CORE_DESTRUCTION,loss,6,3,3,45,0.30481369997141883,0,30
MATCH-076,bounded,blue,CORE_DESTRUCTION,loss,6,3,3,45,0.3060954999527894,0,30
